product_name,price,retailer,platform,storeUrl,imageUrl
Card Màn Hình GIGABYTE GeForce RTX 2070...,15.250.000?,Tiki,Tiki,https://tiki.vn/card-man-hinh-gigabyte-geforce-rtx-2070-super-gaming-oc-8g-hang-chinh-hang-p24755995.html?src=search&2hi=0&keyword=nvidia+geforce,https://salt.tikicdn.com/cache/200x200/ts/product/b3/af/2b/4b70b5949f51a3d21069db09c440d299.png
C?c màn hình ZOTAC GAMING GeForce RTX 2070...,14.500.000?,Tiki,Tiki,https://tiki.vn/cac-man-hinh-zotac-gaming-geforce-rtx-2070-super-amp-extreme-hang-chinh-hang-p43994074.html?src=search&2hi=0&keyword=nvidia+geforce,https://salt.tikicdn.com/cache/200x200/ts/product/be/16/9c/416394a29f13cc81e50315686439330d.jpg
Card Màn Hình GIGABYTE GeForce RTX 2060...,12.900.000?,Tiki,Tiki,https://tiki.vn/card-man-hinh-gigabyte-geforce-rtx-2060-super-aorus-8g-hang-chinh-hang-p24623053.html?src=search&2hi=0&keyword=nvidia+geforce,https://salt.tikicdn.com/cache/200x200/ts/product/c9/9d/e0/0c6abd206734d21d1b5051986c41d277.png
Card Màn Hình INNO3D GeForce GTX 1050 Ti...,3.999.000?,Tiki,Tiki,https://tiki.vn/card-man-hinh-inno3d-geforce-gtx-1050-ti-twin-x2-4gb-gddr5-hang-nhap-khau-p7766087.html?src=search&2hi=0&keyword=nvidia+geforce,https://salt.tikicdn.com/cache/200x200/ts/product/ea/39/0d/f806d5d7f1a88ec27e5c8a56f93eb33d.jpg
Card ?? H?a VGA INNO3D GeForce RTX 2060...,10.990.000?,Tiki,Tiki,https://tiki.vn/card-do-hoa-vga-inno3d-geforce-rtx-2060-super-twin-x2-oc-8gb-hang-chinh-hang-p45314666.html?src=search&2hi=0&keyword=nvidia+geforce,https://salt.tikicdn.com/cache/200x200/ts/product/85/18/d3/dce342bb0a1d40af6eff243bf8acc6c1.jpg
Card Màn Hình VGA GeForce RTX 2070 SUPER...,14.450.000?,Tiki,Tiki,https://tiki.vn/card-man-hinh-vga-geforce-rtx-2070-super-windforce-oc-8g-n207swf3oc-8gc-hang-chinh-hang-p34701015.html?src=search&2hi=0&keyword=nvidia+geforce,https://salt.tikicdn.com/cache/200x200/ts/product/32/df/a7/fb09dd6da5d9572138380f3235bd6d9d.png
Card màn hình GIGABYTE GeForce GTX 1660Ti OC...,7.900.000?,Tiki,Tiki,https://tiki.vn/card-man-hinh-gigabyte-geforce-gtx-1660ti-oc-6gb-gddr5-gaming-oc-gv-n166tgamingoc-6gd-hang-chinh-hang-p34691027.html?src=search&2hi=0&keyword=nvidia+geforce,https://salt.tikicdn.com/cache/200x200/ts/product/31/dc/3f/d5f70aef82d53afed121ed813e40a926.png
Card màn hình GIGABYTE GeForce GTX 1650 4GB...,3.750.000?,Tiki,Tiki,https://tiki.vn/card-man-hinh-gigabyte-geforce-gtx-1650-4gb-gddr5-oc-gv-n1650oc-4gd-hang-chinh-hang-p34680673.html?src=search&2hi=0&keyword=nvidia+geforce,https://salt.tikicdn.com/cache/200x200/ts/product/dc/16/a8/5f674b60918149561e67a8ccea78ec28.png
Card Màn Hình VGA INNO3D GeForce RTX 2080...,20.090.000?,Tiki,Tiki,https://tiki.vn/card-man-hinh-vga-inno3d-geforce-rtx-2080-super-gaming-oc-x3-8gb-hang-chinh-hang-p45259432.html?src=search&2hi=0&keyword=nvidia+geforce,https://salt.tikicdn.com/cache/200x200/ts/product/c2/af/3c/1b49a3d7a6d8f0b05f72f817be4d330f.jpg
Card ?? H?a VGA INNO3D GeForce RTX 2060...,11.900.000?,Tiki,Tiki,https://tiki.vn/card-do-hoa-vga-inno3d-geforce-rtx-2060-super-ichill-x3-ultra-8gb-hang-chinh-hang-p45314663.html?src=search&2hi=0&keyword=nvidia+geforce,https://salt.tikicdn.com/cache/200x200/ts/product/5e/05/c1/ea7f7ad1d8ed1b7a781114af696a3bd8.jpg
C?c màn hình ZOTAC GAMING GeForce RTX 2080...,37.500.000?,Tiki,Tiki,https://tiki.vn/cac-man-hinh-zotac-gaming-geforce-rtx-2080-ti-amp-extreme-core-hang-chinh-hang-p43987446.html?src=search&2hi=0&keyword=nvidia+geforce,https://salt.tikicdn.com/cache/200x200/ts/product/e1/8b/e5/8225afced01de39c5c889451078b3533.jpg
Card Màn Hình GALAX GeForce RTX 2080Ti SG (1...,30.990.000?,Tiki,Tiki,https://tiki.vn/card-man-hinh-galax-geforce-rtx-2080ti-sg-1-click-oc-v2-11gb-gddr6-hang-chinh-hang-p26074445.html?src=search&2hi=0&keyword=nvidia+geforce,https://salt.tikicdn.com/cache/200x200/ts/product/10/77/fc/da5f417e7d1b2809a60e72fd8609c60c.png
Card màn hình MSI GeForce RTX 2080 Ti GAMING...,36.700.000?,Tiki,Tiki,https://tiki.vn/card-man-hinh-msi-geforce-rtx-2080-ti-gaming-x-trio-11gb-gddr6-hang-chinh-hang-p7756059.html?src=search&2hi=0&keyword=nvidia+geforce,https://salt.tikicdn.com/cache/200x200/ts/product/a3/e7/25/26ac9494b8e536cd8d198ad9e52823ae.jpg
Card Màn Hình INNO3D Geforce GTX 1060 6GB...,4.400.000?,Tiki,Tiki,https://tiki.vn/card-man-hinh-inno3d-geforce-gtx-1060-6gb-gaming-oc-p45467842.html?src=search&2hi=0&keyword=nvidia+geforce,https://salt.tikicdn.com/cache/200x200/ts/product/c6/7c/46/ad5ca391ee1b26237bb0317715487834.jpg
Card màn hình GIGABYTE GeForce GTX 1660...,5.650.000?,Tiki,Tiki,https://tiki.vn/card-man-hinh-gigabyte-geforce-gtx-1660-super-oc-6g-gv-n166soc-6gd-hang-chinh-hang-p48591726.html?src=search&2hi=0&keyword=nvidia+geforce,https://salt.tikicdn.com/cache/200x200/ts/product/95/ee/88/2bc1cd3125aaea271ec694ccb7c3bdf5.png
Card Màn Hình INNO3D Geforce GTX 1660 Twin...,5.300.000?,Tiki,Tiki,https://tiki.vn/card-man-hinh-inno3d-geforce-gtx-1660-twin-x2-6gb-p45467840.html?src=search&2hi=0&keyword=nvidia+geforce,https://salt.tikicdn.com/cache/200x200/ts/product/39/fb/6b/7fcdb1c8a724bc298dad845657a21fb1.jpg
Card Màn Hình VGA Galax GeForce GALAX GTX...,5.388.000?,Tiki,Tiki,https://tiki.vn/card-man-hinh-vga-galax-geforce-galax-gtx-1660-1-click-oc-6gb-ddr5-60srh7dsy91c-hang-chinh-hang-p20374773.html?src=search&2hi=0&keyword=nvidia+geforce,https://salt.tikicdn.com/cache/200x200/ts/product/e8/3e/51/5386bb3d728f7eaac23db8746701d113.jpg
