product_name,price,retailer,platform,storeUrl,imageUrl,review
Card màn hình GIGABYTE GeForce GTX 1050Ti 4GB GDDR5 OC (GV-N105TOC-4GD),4.890.000?,Phong Vu,none,https://phongvu.vn/vga-gigabyte-gtx1050ti-oc-4g-gv-n105toc-4gd-s1700067.html,https://phongvu.vn/images/default-image.png,15 nh?n xét
Card màn hình GIGABYTE GeForce GTX 1060 3GB GDDR5 WindForce (GV-N1060WF2OC-3GD),6.095.000?,Phong Vu,none,https://phongvu.vn/vga-gigabyte-gtx1060-windforce-oc-3g-gv-n1060wf2oc-3gd-s1602568.html,https://phongvu.vn/images/default-image.png,17 nh?n xét
Card màn hình GIGABYTE GeForce GTX 1660Ti 6GB GDDR6 OC (GV-N166TOC-6GD),7.390.000?,Phong Vu,none,https://phongvu.vn/card-man-hinh-vga-gigabyte-geforce-gtx-1660ti-oc-6g-gddr6-gv-n166toc-6gd-s19020028.html,https://phongvu.vn/images/default-image.png,2 nh?n xét
Card màn hình MSI GeForce GTX 1060 6GB GDDR5 Gaming X (GTX-1060-GAMING-X-6G),7.470.000?,Phong Vu,none,https://phongvu.vn/vga-msi-gtx-1060-gaming-x-6g-gddr5-192-bit-3-x-dp-hdmi-dl-dvi-d-s1602153.html,https://phongvu.vn/images/default-image.png,14 nh?n xét
Card màn hình GIGABYTE GeForce GTX 1650 4GB GDDR5 Mini ITX OC (GV-N1650IXOC-4GD),4.190.000?,Phong Vu,none,https://phongvu.vn/card-man-hinh-vga-gigabyte-geforce-gtx-1650-mini-itx-oc-4g-gddr5-gv-n1650ixoc-4gd-s19040941.html,https://phongvu.vn/images/default-image.png,
Card màn hình GALAX GeForce GTX 1050Ti 4GB GDDR5 OC (GTX-1050Ti-OC),4.131.000?,Phong Vu,none,https://phongvu.vn/card-man-hinh-galax-4gb-gtx1050ti-oc-s1704778.html,https://phongvu.vn/images/default-image.png,17 nh?n xét
Card màn hình MSI GeForce GTX 1060 3GB GDDR5 OCV2,3.689.900?,Phong Vu,none,https://phongvu.vn/card-man-hinh-msi-3gb-gtx1060-3gt-ocv2-s1800682.html,https://phongvu.vn/images/default-image.png,17 nh?n xét
Card màn hình MSI GeForce RTX 2060 6GB GDDR6 Gaming Z,11.490.000?,Phong Vu,none,https://phongvu.vn/card-man-hinh-msi-rtx-2060-gaming-z-6gb-s19020009.html,https://phongvu.vn/images/default-image.png,2 nh?n xét
Card màn hình ASUS TUF Gaming GeForce GTX 1650 SUPER OC Edition 4GB GDDR6,4.890.000?,Phong Vu,none,https://phongvu.vn/card-man-hinh-asus-tuf-gtx-1650-super-oc-4gb-gddr6-tufgtx1650so4ggaming-s191101466.html,https://phongvu.vn/images/default-image.png,
Card màn hình ASUS GeForce RTX 2060 6GB GDDR6 ROG Strix OC,11.760.000?,Phong Vu,none,https://phongvu.vn/card-man-hinh-vga-asus-rog-strix-rtx-2060-oc-6gb-gddr6-rog-strix-rtx2060-o6g-gaming-s19010114.html,https://phongvu.vn/images/default-image.png,1 nh?n xét
Card màn hình ASUS GeForce GTX 1050Ti 4GB GDDR5 Cerberus OC,3.390.000?,Phong Vu,none,https://phongvu.vn/card-man-hinh-asus-4gb-cerberus-gtx1050ti-o4g-s1800559.html,https://phongvu.vn/images/default-image.png,16 nh?n xét
Card màn hình ASUS GeForce GTX 1650 4GB GDDR5 Phoenix (PH-GTX1650-4G),4.530.000?,Phong Vu,none,https://phongvu.vn/card-man-hinh-asus-phoenix-geforce-gtx-1650-4gb-gddr5-ph-gtx1650-4g-s19040614.html,https://phongvu.vn/images/default-image.png,
Card màn hình GIGABYTE GeForce GTX 1650 4GB GDDR5 Gaming OC (GV-N1650GAMING OC-4GD),5.250.000?,Phong Vu,none,https://phongvu.vn/card-man-hinh-vga-gigabyte-geforce-gtx-1650-gaming-oc-4g-gddr5-gv-n1650gaming-oc-4gd-s19040816.html,https://phongvu.vn/images/default-image.png,3 nh?n xét
Card màn hình GIGABYTE GeForce GTX 1050Ti 4GB GDDR5 (GV-N105TD5-4GD),4.221.000?,Phong Vu,none,https://phongvu.vn/vga-gigabyte-gtx-1050-ti-d5-4g-s1701825.html,https://phongvu.vn/images/default-image.png,12 nh?n xét
Card màn hình GIGABYTE GeForce GTX 1650 4GB GDDR5 WindForce OC (GV-N1650WF2OC-4GD),5.090.000?,Phong Vu,none,https://phongvu.vn/card-man-hinh-vga-gigabyte-geforce-gtx-1650-windforce-oc-4g-gddr5-gv-n1650wf2oc-4gd-s19040817.html,https://phongvu.vn/images/default-image.png,1 nh?n xét
Card màn hình ASUS GeForce RTX 2060 Super 8GB GDDR6 DUAL EVO OC,13.040.000?,Phong Vu,none,https://phongvu.vn/card-man-hinh-asus-dual-rtx-2060-super-evo-oc-8gb-gddr6-dual-rtx2060s-o8g-evo-s19070147.html,https://img.vnshop.vn/height/350/media/catalog_v2/media/43/31/1566898350.5460205_Asus_Dual_RTX_2060_Super_EVO_OC_8GB_GDDR6_DUAL-RTX2060S-O8G-EVO_1.jpg,
Card màn hình ASUS GeForce GTX 1050Ti 4GB GDDR5 ROG Strix OC (ROG-STRIX-GTX1050TI-O4G-GAMING),5.463.000?,Phong Vu,none,https://phongvu.vn/card-man-hinh-asus-4gb-strix-gtx1050ti-04g-gaming-s1700945.html,https://img.vnshop.vn/height/350/media/catalog/product/a/s/asus-4gb-strix-gtx1050ti-04g-gaming-1.jpg,19 nh?n xét
Card màn hình MSI GeForce GTX 1660 6GB GDDR5 Gaming X,7.499.000?,Phong Vu,none,https://phongvu.vn/card-man-hinh-vga-msi-gtx-1660-gaming-x-6gb-gddr5-s19030162.html,https://lh3.googleusercontent.com/3lqkbnd4audTzJin1ZKVz_MnbheQImDHOSdoxUUqRnijztueYM_Zci0sOw_WGid-aRt8YUZFtOVWuv43V4IF,2 nh?n xét
Card màn hình ASUS GeForce GTX 1660Ti 6GB GDDR6 DUAL OC (DUAL-GTX1660TI-O6G),8.510.000?,Phong Vu,none,https://phongvu.vn/card-man-hinh-vga-asus-dual-geforce-gtx-1660-ti-oc-6gb-gddr6-dual-gtx1660ti-o6g-s19040048.html,https://img.vnshop.vn/height/350/media/catalog_v2/media/32/38/1567045707.7081313_ASUS_Dual_GeForce_GTX_1660_Ti_OC_6GB_GDDR6_DUAL-GTX1660TI-O6G_1.jpg,1 nh?n xét
Card màn hình MSI GeForce GTX 1050Ti 4GB GDDR5 Gaming X (GTX-1050-Ti-GAMING-X-4G),3.390.000?,Phong Vu,none,https://phongvu.vn/card-man-hinh-msi-4gb-gtx1050ti-gaming-x-4g-s1603723.html,https://phongvu.vn/images/default-image.png,26 nh?n xét
Card màn hình ASUS GeForce GTX 1650 4GB GDDR5 ROG Strix OC (ROG-STRIX-GTX1650-O4G-GAMING),5.500.000?,Phong Vu,none,https://phongvu.vn/card-man-hinh-asus-rog-strix-gtx-1650-oc-4gb-gddr5-rog-strix-gtx1650-o4g-gaming-s19040608.html,https://phongvu.vn/images/default-image.png,
Card màn hình GIGABYTE GeForce GTX 1650 Super Windforce OC 4GB GDDR6,5.590.000?,Phong Vu,none,https://phongvu.vn/card-man-hinh-vga-gigabyte-geforce-gtx-1650-super-windforce-oc-4g-gddr6-gvn165swf2oc4gd-s191200559.html,https://phongvu.vn/images/default-image.png,
